name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Mexico City,Mexico",2022-08-09,27.1,13,16.6,27.3,13,16.6,11.1,71.5,34.828,100,20.83,rain,0,0,22.3,24.2,22.8,1020.7,91.3,14.4,232,20,10,10,2022-08-09T07:15:29,2022-08-09T20:08:22,0.42,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"76726099999,76675399999,76679399999,76680099999,remote,MMSM,MMMX,76675099999,MMTO"
"Mexico City,Mexico",2022-08-10,26.1,13.5,18,26.1,13.5,18,10.2,64.6,2.858,100,4.17,rain,0,0,23.4,25.9,27.3,1022,80.2,17.4,292,25.1,10,10,2022-08-10T07:15:47,2022-08-10T20:07:46,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,remote,MMSM,MMMX,76675099999"
"Mexico City,Mexico",2022-08-11,27,12.1,19,27.4,12.1,19,9.9,57.8,0.46,100,12.5,rain,0,0,19.8,33.5,18.1,1021.4,83.8,14.2,257.3,22.3,10,10,2022-08-11T07:16:05,2022-08-11T20:07:09,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMMX,76675099999,MMTO"
"Mexico City,Mexico",2022-08-12,24,12,17.8,24,12,17.8,10.7,65.8,6.594,100,29.17,rain,0,0,25.2,36.8,20.5,1020.3,94.1,13.4,224.8,19.4,10,10,2022-08-12T07:16:23,2022-08-12T20:06:31,0.52,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,76675099999,MMMX"
"Mexico City,Mexico",2022-08-13,25,14.1,17.7,25,14.1,17.7,12.6,73.9,11.595,100,8.33,rain,0,0,23,16.9,55.6,1019.6,78.6,11.4,256.2,22.1,10,10,2022-08-13T07:16:40,2022-08-13T20:05:52,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMMX,76675099999,MMTO"
"Mexico City,Mexico",2022-08-14,26.5,12,18.2,26.5,12,18.2,12.6,71.2,0.6,100,4.17,rain,0,0,14.8,22.2,139.1,1019.4,95.2,11.4,245.2,21.2,10,10,2022-08-14T07:16:57,2022-08-14T20:05:13,0.59,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMMX,MMTO,76675099999"
"Mexico City,Mexico",2022-08-15,23.4,11.1,16.8,23.4,11.1,16.8,11.8,74.2,2.5,100,12.5,rain,0,0,14.4,18.4,142.4,1019.3,87.9,12.4,243.6,21,10,10,2022-08-15T07:17:14,2022-08-15T20:04:32,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMMX,MMTO"
"Mexico City,Mexico",2022-08-16,23.1,13.9,17.1,23.1,13.9,17.1,12.9,77.4,1.958,100,12.5,rain,0,0,28.8,18.4,10,1019.5,98.4,12.2,210,18.2,9,10,2022-08-16T07:17:30,2022-08-16T20:03:51,0.65,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"76726099999,76675399999,76679399999,76680099999,remote,MMSM,MMTO,76675099999,MMMX"
"Mexico City,Mexico",2022-08-17,24.4,10.1,16.7,24.4,10.1,16.7,11.8,74.9,5.2,100,12.5,rain,0,0,25.2,16.6,71.1,1019.6,90.7,13.1,244.5,21,9,10,2022-08-17T07:17:46,2022-08-17T20:03:09,0.68,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMMX,76675099999,MMTO"
"Mexico City,Mexico",2022-08-18,23.1,10,17,23.1,9.1,16.9,11.4,71.2,5.755,100,12.5,rain,0,0,32.4,35.1,39.4,1022.4,75.7,10.6,291.7,25.4,10,10,2022-08-18T07:18:02,2022-08-18T20:02:27,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,76675099999,MMMX"
